Theta/θ Phi/φ Chi/χ Potential/H
0.0 2.51327412287 0.0 -220.997695900000
0.0 2.51327412287 0.0 -220.997741740000
0.0 2.51327412287 0.0 -220.997789980000
0.0 2.51327412287 0.0 -220.997862200000
0.0 2.51327412287 0.0 -220.997901320000
0.0 2.51327412287 0.0 -220.997906030000
0.0 2.51327412287 0.0 -220.997914370000
0.0 2.51327412287 1.25663706144 -220.997665820000
0.0 2.51327412287 1.25663706144 -220.997696330000
0.0 2.51327412287 1.25663706144 -220.997703940000
0.0 2.51327412287 1.25663706144 -220.997762230000
0.0 2.51327412287 1.25663706144 -220.997824440000
0.0 2.51327412287 1.25663706144 -220.997840230000
0.0 2.51327412287 1.25663706144 -220.997925640000
0.0 2.51327412287 1.25663706144 -220.997997550000
0.0 2.51327412287 1.25663706144 -220.998016360000
0.0 2.51327412287 1.25663706144 -220.998157140000
0.0 2.51327412287 2.51327412287 -220.997002230000
0.0 2.51327412287 2.51327412287 -220.997039930000
0.0 2.51327412287 2.51327412287 -220.997063010000
0.0 2.51327412287 2.51327412287 -220.997182880000
0.0 2.51327412287 2.51327412287 -220.997188160000
0.0 2.51327412287 2.51327412287 -220.997328540000
0.0 2.51327412287 2.51327412287 -220.997405890000
0.0 2.51327412287 2.51327412287 -220.997607780000
0.0 2.51327412287 2.51327412287 -220.997668140000
0.0 2.51327412287 2.51327412287 -220.997707850000
0.0 2.51327412287 3.76991118431 -220.996990140000
0.0 2.51327412287 3.76991118431 -220.997157070000
0.0 2.51327412287 3.76991118431 -220.997307250000
0.0 2.51327412287 3.76991118431 -220.997402060000
0.0 2.51327412287 3.76991118431 -220.997440550000
0.0 2.51327412287 3.76991118431 -220.997575810000
0.0 2.51327412287 3.76991118431 -220.997630910000
0.0 2.51327412287 3.76991118431 -220.997699670000
0.0 2.51327412287 3.76991118431 -220.997764720000
0.0 2.51327412287 3.76991118431 -220.997778420000
0.0 2.51327412287 5.02654824574 -220.997794450000
0.0 2.51327412287 5.02654824574 -220.997819640000
0.0 2.51327412287 5.02654824574 -220.997859470000
0.0 2.51327412287 5.02654824574 -220.997934370000
0.0 2.51327412287 5.02654824574 -220.997970730000
0.0 2.51327412287 5.02654824574 -220.998061700000
0.0 2.51327412287 5.02654824574 -220.998093430000
0.0 2.51327412287 5.02654824574 -220.998166040000
0.0 2.51327412287 5.02654824574 -220.998185340000
0.0 2.51327412287 5.02654824574 -220.998212950000
1.25663706144 0.0 0.0 -220.997709020000
1.25663706144 0.0 0.0 -220.997716270000
1.25663706144 0.0 0.0 -220.997721510000
1.25663706144 0.0 0.0 -220.997755420000
1.25663706144 0.0 0.0 -220.997762050000
1.25663706144 0.0 0.0 -220.997864290000
1.25663706144 0.0 0.0 -220.998010090000
1.25663706144 0.0 0.0 -220.998147200000
1.25663706144 0.0 0.0 -220.998166380000
1.25663706144 0.0 0.0 -220.998210470000
1.25663706144 0.0 1.25663706144 -220.997324430000
1.25663706144 0.0 1.25663706144 -220.997362290000
1.25663706144 0.0 1.25663706144 -220.997367670000
1.25663706144 0.0 1.25663706144 -220.997461350000
1.25663706144 0.0 1.25663706144 -220.997471450000
1.25663706144 0.0 1.25663706144 -220.997558640000
1.25663706144 0.0 1.25663706144 -220.997627060000
1.25663706144 0.0 1.25663706144 -220.997654880000
1.25663706144 0.0 1.25663706144 -220.997661010000
1.25663706144 0.0 1.25663706144 -220.997669400000
1.25663706144 0.0 2.51327412287 -220.997444820000
1.25663706144 0.0 2.51327412287 -220.997471450000
1.25663706144 0.0 2.51327412287 -220.997510710000
1.25663706144 0.0 2.51327412287 -220.997576180000
1.25663706144 0.0 2.51327412287 -220.997604730000
